interview_0 with_1 the_1	465609	257873	1579	2009	1112396561628	0.668809
interview_0 ,_1 and_1	118262	90563	1563	2009	1112396702655	0.169874
interview_0 with_1 a_1	112305	86516	1750	2009	1112396713426	0.161317
Mar._0 1_1 ,_1	96061	24691	1600	2009	1112396749953	0.348235
Mar._0 3_1 ,_1	90350	22086	1760	2009	1112396766421	0.327532
Mar._0 4_1 ,_1	89440	21146	1600	2009	1112396769166	0.324233
between_0 the_1 two_1	8765121	1994948	1500	2009	1112396530085	0.695508
between_0 them_1 ._1	2418673	1144285	1505	2009	1112396532964	0.191921
between_0 these_1 two_1	1418677	785397	1572	2009	1112396537032	0.112571
June_0 30_1 ,_1	1134220	282732	1559	2009	1112396539581	0.484286
June_0 1_1 ,_1	700489	251846	1600	2009	1112396548539	0.299093
June_0 15_1 ,_1	507337	206171	1563	2009	1112396558285	0.216621
29_0 ,_1 30_1	551036	300757	1584	2009	1112396555360	0.432277
29_0 )_1 ._1	498569	235964	1545	2009	1112396558919	0.391117
29_0 ,_1 31_1	225125	153184	1584	2009	1112396609740	0.176606
September_0 1_1 ,_1	474863	206401	1505	2009	1112396560821	0.365422
September_0 30_1 ,_1	420222	174531	1600	2009	1112396566148	0.323374
September_0 11_1 ,_1	404407	159143	1760	2009	1112396568006	0.311204
17_0 )_1 ._1	823160	341065	1500	2009	1112396544919	0.438174
17_0 ,_1 18_1	701282	357612	1582	2009	1112396548498	0.373298
17_0 )_1 ,_1	354172	184948	1584	2009	1112396575105	0.188528
2000_0 )_1 ._1	3140965	191887	1590	2009	1112396531908	0.747802
2000_0 )_1 ,_1	820848	161240	1731	2009	1112396544984	0.195428
2000_0 )_1 :_1	238452	54637	1753	2009	1112396604226	0.0567707
Ali_0 ,_1 the_1	29386	19902	1734	2009	1112397360627	0.392326
Ali_0 ,_1 and_1	24532	15962	1696	2009	1112397538794	0.327521
Ali_0 ,_1 who_1	20984	13586	1788	2009	1112397722290	0.280153
Shehhi_0 ,_1 Marwan_1	206	179	2001	2009	1112501647570	0.46085
Shehhi_0 ,_1 and_1	167	86	1979	2009	1112523395427	0.373602
Shehhi_0 ,_1 who_1	74	65	1979	2009	1112655977839	0.165548
Atta_0 boy_1 ,_1	2870	2496	1917	2009	1112405521296	0.491102
Atta_0 girl_1 ,_1	1673	1530	1926	2009	1112411649104	0.286277
Atta_0 Troll_1 ,_1	1301	708	1845	2009	1112415730784	0.222621
$_0 $_1 $_1	677964	20829	1743	2009	1112396549310	0.408973
$_0 1_1 million_1	513923	145631	1600	2009	1112396557813	0.310017
$_0 1_1 ,_1	465837	131853	1600	2009	1112396561599	0.28101
transfers_0 to_1 the_1	53358	37929	1600	2009	1112396960785	0.413628
transfers_0 ,_1 and_1	45151	35110	1707	2009	1112397048542	0.350008
transfers_0 from_1 the_1	30491	22067	1805	2009	1112397327661	0.236364
ranging_0 from_1 the_1	319616	244338	1590	2009	1112396581352	0.5704
ranging_0 from_1 a_1	137620	116599	1706	2009	1112396674511	0.245602
ranging_0 from_1 $_1	103101	65827	1801	2009	1112396732532	0.183998
5,000_0 to_1 $_1	37691	25250	1830	2009	1112397162922	0.377034
5,000_0 ,_1 and_1	31170	25907	1600	2009	1112397308799	0.311803
5,000_0 a_1 year_1	31106	24127	1667	2009	1112397310542	0.311163
70,000_0 ,_1 and_1	5958	5539	1600	2009	1112400901133	0.382487
70,000_0 to_1 $_1	5158	2536	1835	2009	1112401579050	0.331129
70,000_0 a_1 year_1	4461	4100	1820	2009	1112402361959	0.286384
bin_0 Laden_1 ,_1	44575	13499	1976	2009	1112397055957	0.435112
bin_0 Laden_1 and_1	32973	9176	1963	2009	1112397262603	0.321861
bin_0 Laden_1 ._1	24897	8705	1979	2009	1112397522847	0.243028
Ladin_0 and_1 his_1	840	307	1958	2009	1112425495406	0.496747
Ladin_0 '_1 s_1	446	247	1945	2009	1112448616444	0.263749
Ladin_0 ,_1 "_1	405	189	1870	2009	1112453439075	0.239503
1996_0 )_1 ._1	3307212	238459	1590	2009	1112396531739	0.711345
1996_0 )_1 ,_1	1031231	205460	1787	2009	1112396540957	0.221806
